project_id,project_key,issue_id,issue_key,issue_type_id,issue_type_name,issue_title,issue_created_date,issue_points,changelog_id,status_from_id,status_from_name,status_to_id,status_to_name,status_from_category_name,status_to_category_name,status_change_date,sprint_id,sprint_name
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,149311,10161,Tech refinement,10162,Ready to Dev,To Do,To Do,2025-10-09T13:45:15.772000+00:00,,
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,149312,10162,Ready to Dev,10000,Backlog,To Do,To Do,2025-10-09T13:45:18.862000+00:00,,
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,149313,10000,Backlog,10135,In Development,To Do,In Progress,2025-10-09T13:45:22.027000+00:00,,
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,149314,10135,In Development,10137,Ready to test,In Progress,In Progress,2025-10-09T13:45:25.089000+00:00,,
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,159583,10137,Ready to test,10011,In Test,In Progress,In Progress,2025-11-27T11:29:52.116000+00:00,1759,3 Sprint 5
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,159788,10011,In Test,10163,Ready to validate,In Progress,In Progress,2025-11-27T16:36:32.274000+00:00,1759,3 Sprint 5
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,160426,10163,Ready to validate,10165,In Product Validation,In Progress,In Progress,2025-12-01T18:05:01.673000+00:00,1759,3 Sprint 5
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,160427,10165,In Product Validation,10141,Ready to Deploy,In Progress,In Progress,2025-12-01T18:05:13.700000+00:00,1759,3 Sprint 5
10286,PKGS,26464,PKGS-653,10004,Bug,Logout não estava limpando os clubes,2025-10-09T13:44:23.303000+00:00,5.0,160428,10141,Ready to Deploy,10167,Applied in production,In Progress,Done,2025-12-01T18:05:18.548000+00:00,1759,3 Sprint 5
10286,PKGS,26466,PKGS-654,10004,Bug,"Desaparecimento da opcao de ""acoes"" no gerenciamento do clube",2025-10-09T13:44:36.294000+00:00,5.0,149318,10160,Business refinement,10161,Tech refinement,To Do,To Do,2025-10-09T13:45:54.109000+00:00,,
10286,PKGS,26466,PKGS-654,10004,Bug,"Desaparecimento da opcao de ""acoes"" no gerenciamento do clube",2025-10-09T13:44:36.294000+00:00,5.0,149319,10161,Tech refinement,10162,Ready to Dev,To Do,To Do,2025-10-09T13:45:56.785000+00:00,,
